id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,Canker
1,9,9,9,1,1,1,5.6,2013,U07m,17XGA04,1,25%,0.035,0.019,0.171,NA,1,0
2,9,9,9,2,1,1,3.2,2013,U07m,17XGA04,1,40%,0.016,0.006,0.056,NA,1,0
3,9,9,9,3,1,1,8,2013,U07m,17XGA04,1,25%,0.069,0.039,0.348,NA,2,0
4,9,9,9,4,1,1,4,2013,U07m,17XGA04,1,39%,0.024,0.009,0.085,NA,2,0
5,9,9,9,5,1,1,5.8,2013,U07m,82XAA04,2,15%,0.024,0.02,0.183,NA,1,0
6,9,9,9,6,1,1,5,2013,U07m,82XAA04,2,42%,0.04,0.015,0.136,NA,1,0
7,9,9,9,7,1,1,8.7,2013,U07m,82XAA04,2,34%,0.105,0.046,0.41,NA,3,0
8,9,9,9,8,1,1,0,2013,U07m,82XAA04,2,NA,NA,0,0,NA,0,0
9,9,9,9,9,1,4,0,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0
10,9,9,9,10,1,4,0,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0
11,9,9,9,11,1,4,0,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0
12,9,9,9,12,1,4,0,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0
13,9,9,9,13,1,4,8.7,2013,U07m,83XAA04,4,34%,0.105,0.046,0.414,NA,4,0
14,9,9,9,14,1,4,9.8,2013,U07m,83XAA04,4,32%,0.127,0.058,0.52,NA,3,0
15,9,9,9,15,1,4,9.4,2013,U07m,83XAA04,4,21%,0.083,0.053,0.478,NA,3,0
16,9,9,9,16,1,4,8.9,2013,U07m,83XAA04,4,26%,0.09,0.048,0.432,NA,2,0
17,9,9,9,17,1,5,6.3,2013,U07m,81XAA04,5,20%,0.036,0.024,0.215,NA,2,0
18,9,9,9,18,1,5,9.3,2013,U07m,81XAA04,5,26%,0.096,0.052,0.472,NA,2,0
19,9,9,9,19,1,5,7.9,2013,U07m,81XAA04,5,24%,0.065,0.037,0.337,NA,3,0
20,9,9,9,20,1,5,4,2013,U07m,81XAA04,5,17%,0.013,0.01,0.087,NA,1,0
21,9,9,9,21,1,NA,0,2013,U07m,NA,NA,NA,NA,NA,NA,NA,NA,0
22,9,9,9,1,2,1,9.4,2013,U07m,80XAA04,10,28%,0.106,0.054,0.482,NA,1,0
23,9,9,9,2,2,1,6.8,2013,U07m,80XAA04,10,28%,0.056,0.028,0.252,NA,1,0
24,9,9,9,3,2,1,6.4,2013,U07m,80XAA04,10,26%,0.046,0.025,0.223,NA,1,0
25,9,9,9,4,2,1,3,2013,U07m,80XAA04,10,15%,0.006,0.005,0.049,NA,1,0
26,9,9,9,5,2,1,8,2013,U07m,84XAA04,9,28%,0.076,0.039,0.347,NA,4,0
27,9,9,9,6,2,1,6,2013,U07m,84XAA04,9,23%,0.037,0.022,0.196,NA,1,0
28,9,9,9,7,2,1,7.7,2013,U07m,84XAA04,9,16%,0.044,0.036,0.327,NA,3,0
29,9,9,9,8,2,1,4.7,2013,U07m,84XAA04,9,28%,0.027,0.014,0.122,NA,2,0
30,9,9,9,9,2,4,4.4,2013,U07m,18XAG04,8,31%,0.026,0.012,0.107,NA,2,0
31,9,9,9,10,2,4,6,2013,U07m,18XAG04,8,23%,0.037,0.022,0.196,NA,1,0
32,9,9,9,11,2,4,8.2,2013,U07m,18XAG04,8,22%,0.066,0.041,0.367,NA,2,0
33,9,9,9,12,2,4,7.7,2013,U07m,18XAG04,8,17%,0.046,0.036,0.325,NA,2,0
34,9,9,9,13,2,4,0,2013,U07m,81XAA04,7,NA,NA,0,0,NA,0,0
35,9,9,9,14,2,4,5.5,2013,U07m,81XAA04,7,43%,0.05,0.018,0.165,NA,1,0
36,9,9,9,15,2,4,2.9,2013,U07m,81XAA04,7,7%,0.003,0.005,0.046,NA,1,0
37,9,9,9,16,2,4,0,2013,U07m,81XAA04,7,NA,NA,0,0,NA,0,0
38,9,9,9,17,2,5,6.1,2013,U07m,80XAA04,6,24%,0.039,0.023,0.204,NA,2,0
39,9,9,9,18,2,5,5.9,2013,U07m,80XAA04,6,19%,0.031,0.021,0.19,NA,1,0
40,9,9,9,19,2,5,8.6,2013,U07m,80XAA04,6,10%,0.038,0.045,0.402,NA,5,0
41,9,9,9,20,2,5,8,2013,U07m,80XAA04,6,38%,0.097,0.039,0.349,NA,1,0
42,9,9,9,21,2,NA,3.8,2013,U07m,NM6,NA,21%,0.014,0.009,0.077,NA,2,0
43,9,9,9,1,3,1,8.9,2013,U07m,83XAA04,11,45%,0.134,0.048,0.433,NA,4,0
44,9,9,9,2,3,1,8.4,2013,U07m,83XAA04,11,8%,0.028,0.043,0.387,NA,3,0
45,9,9,9,3,3,1,6.6,2013,U07m,83XAA04,11,15%,0.032,0.027,0.24,NA,2,0
46,9,9,9,4,3,1,9.1,2013,U07m,83XAA04,11,10%,0.042,0.05,0.448,NA,3,0
47,9,9,9,5,3,1,6,2013,U07m,1XTE04,12,12%,0.021,0.022,0.194,NA,3,0
48,9,9,9,6,3,1,3.3,2013,U07m,1XTE04,12,0%,0,0.007,0.059,NA,1,0
49,9,9,9,7,3,1,5,2013,U07m,1XTE04,12,7%,0.009,0.015,0.136,NA,2,0
50,9,9,9,8,3,1,5.8,2013,U07m,1XTE04,12,0%,0,0.02,0.184,NA,2,0
51,9,9,9,9,3,4,9.2,2013,U07m,80XAA04,13,12%,0.049,0.051,0.457,NA,3,0
52,9,9,9,10,3,4,4.9,2013,U07m,80XAA04,13,13%,0.016,0.015,0.131,NA,1,0
53,9,9,9,11,3,4,0,2013,U07m,80XAA04,13,NA,NA,0,0,NA,0,0
54,9,9,9,12,3,4,10.1,2013,U07m,80XAA04,13,15%,0.071,0.062,0.556,NA,2,0
55,9,9,9,13,3,4,7.1,2013,U07m,82XAA04,14,29%,0.061,0.03,0.273,NA,3,0
56,9,9,9,14,3,4,7.3,2013,U07m,82XAA04,14,18%,0.045,0.032,0.291,NA,2,0
57,9,9,9,15,3,4,6.2,2013,U07m,82XAA04,14,25%,0.042,0.024,0.213,NA,2,0
58,9,9,9,16,3,4,6.2,2013,U07m,82XAA04,14,0%,0,0.023,0.21,NA,1,0
59,9,9,9,17,3,5,7.5,2013,U07m,83XAA04,15,11%,0.031,0.034,0.306,NA,2,0
60,9,9,9,18,3,5,6.5,2013,U07m,83XAA04,15,3%,0.007,0.026,0.23,NA,1,0
61,9,9,9,19,3,5,5,2013,U07m,83XAA04,15,9%,0.011,0.015,0.136,NA,1,0
62,9,9,9,20,3,5,7.4,2013,U07m,83XAA04,15,26%,0.061,0.033,0.295,NA,2,0
