id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,misc_text_col1,misc_text_col2,misc_text_col3
1,1,9,9,1,1,1,5.6,2013,AZ7M,17XGA24,25%,1,0
2,1,9,9,2,1,1,3.2,2013,AZ7M,17XGA04,40%,1,0
3,1,9,9,3,1,1,8,2013,AZ7M,17XGA04,25%,2,0
4,1,9,9,4,1,1,4,2013,AZ7M,17XGA5,39%,2,0
5,1,9,9,5,1,1,5.8,2013,AZ7M,82XAA04,15%,1,0
6,1,9,9,6,1,1,5,2013,AZ7M,82XAA04,42%,1,0
7,1,9,9,7,1,1,8.7,2013,AZ7M,82XAA04,34%,3,0
8,1,9,9,8,1,1,0,2013,AZ7M,82XAA04,NA,0,0
9,1,9,9,9,1,1,0,2013,AZ7M,2XT4E04,NA,0,0
10,1,9,9,10,1,1,0,2013,AZ7M,2XT4E04,NA,0,0
11,1,9,9,11,1,1,0,2013,AZ7M,2XT4E04,NA,0,0
12,1,9,9,12,1,1,0,2013,AZ7M,2XT4E04,NA,0,0
13,1,9,9,13,1,1,8.7,2013,AZ7M,83XAA04,34%,4,0
14,1,9,9,14,1,1,9.8,2013,AZ7M,83XAA04,32%,3,0
15,1,9,9,15,1,1,9.4,2013,AZ7M,83XAA04,21%,3,0
16,1,9,9,16,1,1,8.9,2013,AZ7M,83XAA04,26%,2,0
17,1,9,9,17,1,1,6.3,2013,AZ7M,81XAA04,20%,2,0
18,1,9,9,18,1,1,9.3,2013,AZ7M,81XAA04,26%,2,0
19,1,9,9,19,1,1,7.9,2013,AZ7M,81XAA04,24%,3,0
20,1,9,9,20,1,1,4,2013,AZ7M,81XAA04,17%,1,0
21,1,9,9,21,1,1,0,2013,AZ7M,NM6,NA,NA,0
22,1,9,9,1,2,2,9.4,2013,AZ7M,80XAA04,28%,1,0
23,1,9,9,2,2,2,6.8,2013,AZ7M,80XAA04,28%,1,0
24,1,9,9,3,2,2,6.4,2013,AZ7M,80XAA04,26%,1,0
25,1,9,9,4,2,2,3,2013,AZ7M,80XAA04,15%,1,0
26,1,9,9,5,2,2,8,2013,AZ7M,84XAA04,28%,4,0
27,1,9,9,6,2,2,6,2013,AZ7M,84XAA04,23%,1,0
28,1,9,9,7,2,2,7.7,2013,AZ7M,84XAA04,16%,3,0
29,1,9,9,8,2,2,4.7,2013,AZ7M,84XAA04,28%,2,0
30,1,9,9,9,2,2,4.4,2013,AZ7M,18XAG04,31%,2,0
31,1,9,9,10,2,2,6,2013,AZ7M,18XAG04,23%,1,0
32,1,9,9,11,2,2,8.2,2013,AZ7M,18XAG04,22%,2,0
33,1,9,9,12,2,2,7.7,2013,AZ7M,18XAG04,17%,2,0
34,1,9,9,13,2,2,0,2013,AZ7M,81XAA04,NA,0,0
35,1,9,9,14,2,2,5.5,2013,AZ7M,81XAA04,43%,1,0
36,1,9,9,15,2,2,2.9,2013,AZ7M,81XAA04,7%,1,0
37,1,9,9,16,2,2,0,2013,AZ7M,81XAA04,NA,0,0
38,1,9,9,17,2,2,6.1,2013,AZ7M,80XAA04,24%,2,0
39,1,9,9,18,2,2,5.9,2013,AZ7M,80XAA04,19%,1,0
40,1,9,9,19,2,2,8.6,2013,AZ7M,80XAA04,10%,5,0
41,1,9,9,20,2,2,8,2013,AZ7M,80XAA04,38%,1,0
42,1,9,9,21,2,2,3.8,2013,AZ7M,NM6,21%,2,0
43,1,9,9,1,3,3,8.9,2013,AZ7M,83XAA04,45%,4,0
44,1,9,9,2,3,3,8.4,2013,AZ7M,83XAA04,8%,3,0
45,1,9,9,3,3,3,6.6,2013,AZ7M,83XAA04,15%,2,0
46,1,9,9,4,3,3,9.1,2013,AZ7M,83XAA04,10%,3,0
47,1,9,9,5,3,3,6,2013,AZ7M,1XTE04,12%,3,0
48,1,9,9,6,3,3,3.3,2013,AZ7M,1XTE04,0%,1,0
49,1,9,9,7,3,3,5,2013,AZ7M,1XTE04,7%,2,0
50,1,9,9,8,3,3,5.8,2013,AZ7M,1XTE04,0%,2,0
51,1,9,9,9,3,3,9.2,2013,AZ7M,80XAA04,12%,3,0
52,1,9,9,10,3,3,4.9,2013,AZ7M,80XAA04,13%,1,0
