id|setid|long_ft|short_ft|row|col|block|dbh|year|site|name|Nline|NEline|Eline|SEline|Sline|SWline|Wline|NWline|Line_Index|Area_Index|sName2|N_DBH|NE_DBH|E_DBH|SE_DBH|S_DBH|SW_DBH|W_DBH|NW_DBH|sName3|DBH_Count|cDbh_Sum|cDBH_AVG|DBH_Ratio|Sum_DBH_Ratio1_sD|Sum_DBH_Ratio2_cD|BA_Ratio|Sum_BA_Ratio|sDBH_x_AvgcDBH
1|1|9|9|1|1|1|5.6|2013|U07m|17XGA24|9.0|12.7|3.4|5.7|5.7|12.7|9.0|12.7|71.02|221.36|17XGA24|0|0|9.4|6.8|3.2|0|0|0|17XGA24|3|19.4|2.42|2.31|3.46|3.17|1.73|4.62|13.58
2|1|9|9|2|1|1|3.2|2013|U07m|17XGA04|3.3|3.2|2.9|4.2|2.6|12.7|9.0|12.7|50.66|122.51|17XGA04|5.6|9.4|6.8|6.4|8.0|0|0|0|17XGA04|5|36.2|4.53|0.71|11.31|2.28|0.3|26.46|14.48
3|1|9|9|3|1|1|8.0|2013|U07m|17XGA04|6.4|6.9|5.0|9.3|6.0|12.7|9.0|12.7|68.02|200.73|17XGA04|3.2|6.8|6.4|3.0|4.0|0|0|0|17XGA04|5|23.4|2.92|2.74|2.92|9.59|4.18|1.91|23.4
4|1|9|9|4|1|1|4.0|2013|U07m|17XGA5|3.0|4.9|5.1|4.2|3.7|12.7|9.0|12.7|55.41|138.35|17XGA5|8.0|6.4|3.0|8.0|5.8|0|0|0|17XGA5|5|31.2|3.9|1.03|7.8|3.65|0.6|13.23|15.6
5|1|9|9|5|1|1|5.8|2013|U07m|82XAA04|5.3|8.4|3.8|6.3|4.8|12.7|9.0|12.7|63.04|172.79|82XAA04|4.0|3.0|8.0|6.0|5.0|0|0|0|82XAA04|5|26.0|3.25|1.78|4.48|6.24|1.79|4.46|18.85
6|1|9|9|6|1|1|5.0|2013|U07m|82XAA04|4.2|4.9|4.1|5.0|3.3|12.7|9.0|12.7|55.9|141.89|82XAA04|5.8|8.0|6.0|7.7|8.7|0|0|0|82XAA04|5|36.2|4.53|1.1|7.24|3.54|0.74|10.74|22.63
7|1|9|9|7|1|1|8.7|2013|U07m|82XAA04|5.7|7.5|4.8|8.3|9.0|12.7|9.0|12.7|69.74|215.4|82XAA04|5.0|6.0|7.7|4.7|0.0|0|0|0|82XAA04|4|23.4|2.92|2.97|2.69|6.17|4.25|1.88|25.45
8|1|9|9|8|1|1|0.0|2013|U07m|82XAA04|0.0|0.0|0.0|0.0|0|0|0|0|0|0|82XAA04|8.7|7.7|4.7|4.4|0.0|0|0|0|82XAA04|4|25.5|3.19|0.0|0.0|0.0|0.0|0.0|0.0
9|1|9|9|9|1|1|0.0|2013|U07m|2XT4E04|0|0.0|0.0|0.0|0|0|0|0|0|0|2XT4E04|0.0|4.7|4.4|6.0|0.0|0|0|0|2XT4E04|3|15.1|1.89|0.0|0.0|0.0|0.0|0.0|0.0
10|1|9|9|10|1|1|0.0|2013|U07m|2XT4E04|0|0.0|0.0|0.0|0|0|0|0|0|0|2XT4E04|0.0|4.4|6.0|8.2|0.0|0|0|0|2XT4E04|3|18.6|2.33|0.0|0.0|0.0|0.0|0.0|0.0
11|1|9|9|11|1|1|0.0|2013|U07m|2XT4E04|0|0.0|0.0|0.0|0|0|0|0|0|0|2XT4E04|0.0|6.0|8.2|7.7|0.0|0|0|0|2XT4E04|3|21.9|2.74|0.0|0.0|0.0|0.0|0.0|0.0
12|1|9|9|12|1|1|0.0|2013|U07m|2XT4E04|0|0.0|0.0|0|0.0|0|0|0|0|0|2XT4E04|0.0|8.2|7.7|0.0|8.7|0|0|0|2XT4E04|3|24.6|3.07|0.0|0.0|0.0|0.0|0.0|0.0
13|1|9|9|13|1|1|8.7|2013|U07m|83XAA04|9.0|6.8|9.0|7.8|4.2|12.7|9.0|12.7|71.24|220.0|83XAA04|0.0|7.7|0.0|5.5|9.8|0|0|0|83XAA04|3|23.0|2.88|3.03|2.64|3.6|3.26|2.45|25.01
14|1|9|9|14|1|1|9.8|2013|U07m|83XAA04|4.8|12.7|5.8|9.8|4.6|12.7|9.0|12.7|72.13|206.49|83XAA04|8.7|0.0|5.5|2.9|9.4|0|0|0|83XAA04|4|26.5|3.31|2.96|2.7|7.33|3.79|2.11|32.46
15|1|9|9|15|1|1|9.4|2013|U07m|83XAA04|4.4|8.0|6.9|12.7|4.6|12.7|9.0|12.7|71.12|205.42|83XAA04|9.8|5.5|2.9|0.0|8.9|0|0|0|83XAA04|4|27.1|3.39|2.77|2.88|6.97|3.3|2.42|31.84
16|1|9|9|16|1|1|8.9|2013|U07m|83XAA04|4.4|9.6|9.0|7.6|5.3|12.7|9.0|12.7|70.25|207.91|83XAA04|9.4|2.9|0.0|6.1|6.3|0|0|0|83XAA04|4|24.7|3.09|2.88|2.78|6.89|3.65|2.19|27.48
17|1|9|9|17|1|1|6.3|2013|U07m|81XAA04|3.7|12.7|4.6|6.6|3.6|12.7|9.0|12.7|65.69|170.58|81XAA04|8.9|0.0|6.1|5.9|9.3|0|0|0|81XAA04|4|30.2|3.77|1.67|4.79|3.49|1.34|5.99|23.78
18|1|9|9|18|1|1|9.3|2013|U07m|81XAA04|5.4|7.7|5.5|6.6|4.9|12.7|9.0|12.7|64.49|180.84|81XAA04|6.3|6.1|5.9|8.6|7.9|0|0|0|81XAA04|5|34.8|4.35|2.14|3.74|6.84|2.79|2.87|40.45
19|1|9|9|19|1|1|7.9|2013|U07m|81XAA04|4.1|7.3|4.3|6.3|6.0|12.7|9.0|12.7|62.48|171.23|81XAA04|9.3|5.9|8.6|8.0|4.0|0|0|0|81XAA04|5|35.8|4.47|1.77|4.53|6.07|1.81|4.41|35.35
20|1|9|9|20|1|1|4.0|2013|U07m|81XAA04|3.0|4.0|3.0|6.5|9.0|12.7|9.0|12.7|60.05|171.41|81XAA04|7.9|8.6|8.0|3.8|0.0|0|0|0|81XAA04|4|28.3|3.54|1.13|7.08|2.52|0.6|13.43|14.15
21|1|9|9|21|1|1|0.0|2013|U07m|NM6|0.0|0.0|0.0|0|0|0|0|0|0|0|NM6|4.0|8.0|3.8|0|0|0|0|0|NM6|3|15.8|1.98|0.0|0.0|0.0|0.0|0.0|0.0
22|1|9|9|1|2|2|9.4|2013|U07m|80XAA04|9.0|12.7|4.6|6.7|5.2|9.5|5.6|12.7|66.16|187.05|80XAA04|0|0|8.9|8.4|6.8|3.2|5.6|0|80XAA04|5|32.9|4.11|2.29|3.5|8.17|2.97|2.69|38.66
23|1|9|9|2|2|2|6.8|2013|U07m|80XAA04|3.8|5.5|4.0|6.5|4.6|5.8|6.1|7.0|43.36|81.66|80XAA04|9.4|8.9|8.4|6.6|6.4|8.0|3.2|5.6|80XAA04|8|56.5|7.06|0.96|8.31|8.58|0.86|9.26|48.03
