id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,canker,nline,neline,eline,seline,sline,swline,wline,nwline,line_index,area_index,sname2,n_dbh,ne_dbh,e_dbh,se_dbh,s_dbh,sw_dbh,w_dbh,nw_dbh,sname3,dbh_count,cdbh_sum,cdbh_avg,dbh_ratio,sum_dbh_ratio1_sd,sum_dbh_ratio2_cd,ba_ratio,sum_ba_ratio,sdbh_x_avgcdbh
1,9,9,9,1,1,1,5.6,2013,U07m,17XGA04,1,25%,0.035,0.019,0.171,0,1,0,9.0,12.7,3.4,5.7,5.7,12.7,9.0,12.7,71.02,221.36,17XGA04,0,0,9.4,6.8,3.2,0,0,0,17XGA04,3,19.4,2.43,2.31,3.46,3.17,1.73,4.62,13.58
2,9,9,9,2,1,1,3.2,2013,U07m,17XGA04,1,40%,0.016,0.006,0.056,0,1,0,3.3,3.2,2.9,4.2,2.6,12.7,9.0,12.7,50.66,122.51,17XGA04,5.6,9.4,6.8,6.4,8,0,0,0,17XGA04,5,36.2,4.53,0.71,11.31,2.28,0.30,26.46,14.48
3,9,9,9,3,1,1,8,2013,U07m,17XGA04,1,25%,0.069,0.039,0.348,0,2,0,6.4,6.9,5.0,9.3,6.0,12.7,9.0,12.7,68.02,200.73,17XGA04,3.2,6.8,6.4,3,4,0,0,0,17XGA04,5,23.4,2.93,2.74,2.93,9.59,4.18,1.91,23.40
4,9,9,9,4,1,1,4,2013,U07m,17XGA04,1,39%,0.024,0.009,0.085,0,2,0,3.0,4.9,5.1,4.2,3.7,12.7,9.0,12.7,55.41,138.35,17XGA04,8,6.4,3,8,5.8,0,0,0,17XGA04,5,31.2,3.90,1.03,7.80,3.65,0.60,13.23,15.60
5,9,9,9,5,1,1,5.8,2013,U07m,82XAA04,2,15%,0.024,0.02,0.183,0,1,0,5.3,8.4,3.8,6.3,4.8,12.7,9.0,12.7,63.04,172.79,82XAA04,4,3,8,6,5,0,0,0,82XAA04,5,26,3.25,1.78,4.48,6.23,1.79,4.46,18.85
6,9,9,9,6,1,1,5,2013,U07m,82XAA04,2,42%,0.04,0.015,0.136,0,1,0,4.2,4.9,4.1,5.0,3.3,12.7,9.0,12.7,55.90,141.89,82XAA04,5.8,8,6,7.7,8.7,0,0,0,82XAA04,5,36.2,4.53,1.10,7.24,3.54,0.74,10.74,22.63
7,9,9,9,7,1,1,8.7,2013,U07m,82XAA04,2,34%,0.105,0.046,0.41,0,3,0,5.7,7.5,4.8,8.3,9.0,12.7,9.0,12.7,69.74,215.40,82XAA04,5,6,7.7,4.7,0,0,0,0,82XAA04,4,23.4,2.93,2.97,2.69,6.17,4.25,1.88,25.45
8,9,9,9,8,1,1,0,2013,U07m,82XAA04,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,82XAA04,8.7,7.7,4.7,4.4,0,0,0,0,82XAA04,4,25.5,3.19,0.00,0.00,0.00,0.00,0.00,0.00
9,9,9,9,9,1,4,0,2013,U07m,2XT4E04,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0,4.7,4.4,6,0,0,0,0,2XT4E04,3,15.1,1.89,0.00,0.00,0.00,0.00,0.00,0.00
10,9,9,9,10,1,4,0,2013,U07m,2XT4E04,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0,4.4,6,8.2,0,0,0,0,2XT4E04,3,18.6,2.33,0.00,0.00,0.00,0.00,0.00,0.00
11,9,9,9,11,1,4,0,2013,U07m,2XT4E04,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0,6,8.2,7.7,0,0,0,0,2XT4E04,3,21.9,2.74,0.00,0.00,0.00,0.00,0.00,0.00
12,9,9,9,12,1,4,0,2013,U07m,2XT4E04,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,2XT4E04,0,8.2,7.7,0,8.7,0,0,0,2XT4E04,3,24.6,3.08,0.00,0.00,0.00,0.00,0.00,0.00
