id_family|family_key|mother|father|mother_epithet_id|father_epithet_id|is_root|description_f|year_bred|female_parent_species|female_parent_clone|male_parent_species|male_parent_clone|f_web_url_1|f_web_url_2
1|N/A~N/A|N/A|N/A|969|969|U|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A
2|1XAM|S. aegyptiaca L.|S. magnifica Hemsl.|969|969|U|N/A|N/A|S. aegyptiaca L.|N/A|S. magnifica Hemsl.|N/A|N/A|N/A
3|2XAP|S. alba L.|S. pendulina f. salamonii I.V.Belyaeva|969|969|U|N/A|N/A|S. alba L.|N/A|S. pendulina f. salamonii I.V.Belyaeva|N/A|N/A|N/A
4|3XAP|S. alba L.|S. × pendulina f. salamonii I.V.Belyaeva ‘Chrysocoma’|969|969|U|N/A|N/A|S. alba L.|N/A|N/A|S. × pendulina f. salamonii I.V.Belyaeva ‘Chrysocoma’|N/A|N/A
5|4XAB|S. alba L.|× S. babylonica f. tortuosa Y.L.Chou|969|969|U|N/A|N/A|S. alba L.|N/A|× S. babylonica f. tortuosa Y.L.Chou|N/A|N/A|N/A
6|5XAG|S. alba L.|S. ×glatfelterii C.K.Schneid. (S. nigra Marshall × S. amygdaloides Andersson)|969|969|U|N/A|N/A|S. alba L.|N/A|S. ×glatfelterii C.K.Schneid. (S. nigra Marshall × S. amygdaloides Andersson)|N/A|N/A|N/A
7|6XAP|S. alba L.|S. ×pendulina Wender. f. pendulina|969|969|U|N/A|N/A|S. alba L.|N/A|S. ×pendulina Wender. f. pendulina|N/A|N/A|N/A
8|7XAB|S. alba L.|S. babylonica f. tortuosa Y.L.Chou|969|969|U|N/A|N/A|S. alba L.|N/A|S. babylonica f. tortuosa Y.L.Chou|N/A|N/A|N/A
9|8XAE|S. alba L. × S. babylonica L.|S. euxina I.V.Belyaeva ×S. pentandra L.|969|969|U|N/A|N/A|S. alba L. × S. babylonica L.|N/A|S. euxina I.V.Belyaeva ×S. pentandra L.|N/A|N/A|N/A
10|9XAB|S. alba var. sericea|S. babylonica L. ‘Tortuosa’|969|969|U|N/A|N/A|S. alba var. sericea|N/A|N/A|S. babylonica L. ‘Tortuosa’|N/A|N/A
11|10XAE|S. ‘Americana’|S. eleagnos Scop. ‘Angustifolia’|969|969|U|N/A|N/A|N/A|S. ‘Americana’|N/A|S. eleagnos Scop. ‘Angustifolia’|N/A|N/A
12|11XAB|S. ‘Astrid’|S. ‘Björn’|969|969|U|N/A|N/A|N/A|S. ‘Astrid’|N/A|S. ‘Björn’|N/A|N/A
13|12XAV|S. ‘Astrid’|S. viminalis L.|969|969|U|N/A|N/A|N/A|S. ‘Astrid’|N/A|N/A|N/A|N/A
14|13XBA|S. babylonica f. tortuosa Y.L.Chou|S. alba L. × S. ×pendulina Wender. f. pendulina|969|969|U|N/A|N/A|S. babylonica f. tortuosa Y.L.Chou|N/A|S. alba L. × S. ×pendulina Wender. f. pendulina|N/A|N/A|N/A
15|14XBA|S. babylonica L.|S. alba L.|969|969|U|N/A|N/A|S. babylonica L.|N/A|S. alba L.|N/A|N/A|N/A
16|15XBH|S. babylonica L.|S. humboldtiana Willd.|969|969|U|N/A|N/A|S. babylonica L.|N/A|S. humboldtiana Willd.|N/A|N/A|N/A
17|16XBA|S. babylonica L. (as S. matsudana Koidz.)|S. alba L.|969|969|U|N/A|N/A|S. babylonica L. (as S. matsudana Koidz.)|N/A|S. alba L.|N/A|N/A|N/A
18|17XBS|S. babylonica L. × S. leucopithecia Kimura|S. suchowensis W.C. Cheng ex G.H. Zhu × S. leucopithecia Kimura|969|969|U|N/A|N/A|S. babylonica L. × S. leucopithecia Kimura|N/A|S. suchowensis W.C. Cheng ex G.H. Zhu × S. leucopithecia Kimura|N/A|N/A|N/A
19|18XBA|S. babylonica L. ‘Tortuosa’|S. alba var. recticapus Hort.|969|969|U|N/A|N/A|N/A|S. babylonica L. ‘Tortuosa’|S. alba var. recticapus Hort.|N/A|N/A|N/A
20|19XBP|S. babylonica L. ‘Tortuosa’|S. ×pendulina Wender. ‘Blanda’ × S. alba L.|969|969|U|N/A|N/A|N/A|S. babylonica L. ‘Tortuosa’|N/A|S. ×pendulina Wender. ‘Blanda’ × S. alba L.|N/A|N/A
21|20XBP|S. babylonica L. ‘Tortuosa’|S. pentandra L.|969|969|U|N/A|N/A|N/A|S. babylonica L. ‘Tortuosa’|S. pentandra L.|N/A|N/A|N/A
22|21XBB|S. ‘Bowles Hybrid’|S. ‘Björn’|969|969|U|N/A|N/A|N/A|S. ‘Bowles Hybrid’|N/A|S. ‘Björn’|N/A|N/A
23|22XBS|S. ‘Bowles hybrid’|S. ‘SW 901317’|969|969|U|N/A|N/A|N/A|S. ‘Bowles hybrid’|N/A|S. ‘SW 901317’|N/A|N/A
24|23XCP|S. caprea L.|S. phylicifolia L.|969|969|U|N/A|N/A|S. caprea L.|N/A|S. phylicifolia L.|N/A|N/A|N/A
25|24XDE|S. daphnoides Vill.|S. ×erdingeri A.Kern.|969|969|U|N/A|N/A|S. daphnoides Vill.|N/A|S. ×erdingeri A.Kern.|N/A|N/A|N/A
26|25XDM|S. discolor Muhl.|S. myricoides Muhl. (as S. glaucophylloides Fernald)|969|969|U|N/A|N/A|S. discolor Muhl.|N/A|S. myricoides Muhl. (as S. glaucophylloides Fernald)|N/A|N/A|N/A
27|26XEP|S. eriocephala Michx.|S. petiolaris Sm.|969|969|U|N/A|N/A|S. eriocephala Michx.|N/A|S. petiolaris Sm.|N/A|N/A|N/A
28|27XFB|S. ×fragilis L. (as S. fragilis)|S. babylonica L. (as S. matsudana Koiz.)|969|969|U|N/A|N/A|S. ×fragilis L. (as S. fragilis)|N/A|S. babylonica L. (as S. matsudana Koiz.)|N/A|N/A|N/A
29|28XGG|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|S. gmelinii (as S. dasyclados) ‘Dasy 88‘|969|969|U|N/A|N/A|N/A|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|N/A|S. gmelinii (as S. dasyclados) ‘Dasy 88‘|N/A|N/A
30|29XGG|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|S. gmelinii (as S. dasyclados) ‘Dasy 89‘|969|969|U|N/A|N/A|N/A|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|N/A|S. gmelinii (as S. dasyclados) ‘Dasy 89‘|N/A|N/A
31|30XGT|S. gmelinii Pall. (as S. dasyclados Wimm.)|S. turanica Nasarow × S. leucopithecia Kimura|969|969|U|N/A|N/A|S. gmelinii Pall. (as S. dasyclados Wimm.)|N/A|S. turanica Nasarow × S. leucopithecia Kimura|N/A|N/A|N/A
32|31XHL|S. hastata L. ‘Wehrhahnii’|S. lanata L.|969|969|U|N/A|N/A|N/A|S. hastata L. ‘Wehrhahnii’|S. lanata L.|N/A|N/A|N/A
33|32XHL|S. ‘Helga’|S. ‘Långa-Veka röd’|969|969|U|N/A|N/A|N/A|S. ‘Helga’|N/A|S. ‘Långa-Veka röd’|N/A|N/A
34|33XIS|S. ‘Inger’|S. ‘SW 010480’|969|969|U|N/A|N/A|N/A|S. ‘Inger’|N/A|S. ‘SW 010480’|N/A|N/A
35|34XJB|S. ‘Jorunn’|S. ‘Björn’|969|969|U|N/A|N/A|N/A|S. ‘Jorunn’|N/A|S. ‘Björn’|N/A|N/A
36|35XKP|S. koryanagi Kimura ex Goerz ‘SH3’|S. purpurea L. ‘94002’|969|969|U|N/A|N/A|N/A|S. koryanagi Kimura ex Goerz ‘SH3’|N/A|S. purpurea L. ‘94002’|N/A|N/A
