epithet_id|epithet|alternate_name|trade_designations|species|etymology|sex|reference_epithet|reference_breeders|reference_tests|awards|source_type|year_selected|Interspecific_hybrid|familiy_id|mother|father|origin_lat_long|origin_place|description|originator_breeder|registrant|nominator|introducer|keeper|nominator_desc|standard_herbarium |name_status|name_status_note|current_cultivation|checklist_record|contact_info
|‘Acute’|||S. acutifolia Willd.|||W. Schroeder; pers. comm., April 2012||||||||||||‘Acute’ is an old clone used in Canadian shelterbelt tree plantings for over 60 years (W. Schroeder; pers. comm., April 2012). No description or published reference for this cultivar was found; therefore, this name is not established.  ||||||||Not established|||||
|‘Blue Streak’|||S. acutifolia Willd.||male |Hillier Nurseries, 1993|||1993 and 2002 AGM||||||||Netherland|A male clone of Dutch origin with black-purple stems covered with bluish-white bloom (Hillier Nurseries, 1993). It is similar to S. acutifolia Willd. ‘Pendulifolia’, but has shorter leaves and less pendulous branches.||||||||Established|‘Blue Streak’ was the preferred name in the LNWP 2016–2020 and the accepted name in the 2018 RHS HD. |‘Blue Streak’ was sold by seven UK nurseries (2018 RHS PF) and was found in trade in the Netherlands (2018 PS). |||
|‘Harry’|||S. acutifolia Willd.|||2018 RHS HD||||||||||||No description or published reference for this cultivar was found; therefore, this name is not established.||||||||Not established|  ‘Harry’ was the unchecked name in the 2018 RHS HD.  ||||
|‘Lady Aldenham’|||S. acutifolia Willd.||male |Newsholme, 1992||||||||||||A male clone, rarely exceeding 4 m in height, with dark-violet or almost black trunk and branches. Its catkins are larger than the species (Newsholme, 1992).||||||||Established|‘Lady Aldenham’ was a tentatively accepted name in the 2018 RHS HD as a cultivar of S. daphnoides Vill. |‘Lady Aldenham’ was most recently  sold by one UK nursery in 2011 (2013 RHS PF).|||
|‘Lady Aldenham No 2’|||S. acutifolia Willd.|||2018 RHS HD||||||||||||||||||||Not established|No description or published reference for this cultivar was found; therefore, this name is not established. ‘Lady Aldenham No 2’ was a tentatively accepted name in the 2018 RHS HD.|‘Lady Aldenham No 2’ was most recently sold by one UK nursery in 2008 (2013 RHS PF). |||
|‘Moscow Cascad‘Pendula’, nom inval.e’ |‘Pendula’, nom inval.||S. acutifolia Willd.|||gardening websites|||||||||||Russia|No description or published reference for this cultivar was found; therefore, this name is not established. This cultivar originated at the Moscow Botanic Garden, Russia, and was first called ‘Pendula’. This name is currently listed on some gardening websites.  ||||||||Not established|Note: The original epithet ‘Pendula’ was replaced with ‘Moscow Cascade’ because it was not valid in the Latin form, which came into use after 1959.  ||||
|‘Pendulifolia’ |S. pendulifolia Späth||S. acutifolia Willd.||male |Bean, 1981; Krüssmann, 1984; Newsholme, 1992||||||||||||A male clone up to 6 m tall and wide with arching branches and vertically hanging pendulous leaves up to 15 cm long. Schneider sent this cultivar to Späth around 1916. Späth introduced it into commerce in 1939, and it was distributed later by Krüssmann from Dortmund Botanic Garden (Bean, 1981; Krüssmann, 1984). Krüssmann (1984) listed S. pendulifolia Späth as a synonym of this cultivar name. Branches are deeper red and less purple than those of the species (Newsholme, 1992). ||||||||Established|||||
|‘Adair’|||S.|||National Poplar and Willow Users Group, 2007|||||||||||New Zealand|A clone recommended for windbreaks, slope stabilization, riverbank plantings and gully control in New Zealand ||||||||Established|‘Pendulifolia’ was the preferred name in the LNWP 2016–2020 and the accepted name in the 2018 RHS HD. |‘Pendulifolia’ was sold by one UK nursery (2018 RHS PF) and was found in trade in the Netherlands (2018 PS). |||
|‘Advance’|||S.|||Caslin et al., 2012||||||x||S. schwerinii E.L.Wolf |S. viminalis L.|||A fast-growing cultivar developed by the European Willow Breeding Partnership, which was listed for possible release in 2014 (Caslin et al., 2012). It is suitable for bioenergy plantations. |European Willow Breeding Partnership|||||||Established|‘Advance’ was the accepted name for the PBR granted cultivar in the 2018 RHS HD where it was listed as a hybrid of S. schwerinii E.L.Wolf × S. viminalis L.||||
|‘Aegma Brno’|||S. aegyptiaca L. × S. magnifica Hemsl.|the first word in the cultivar epithet consists of the first letters of the parent species “aeg” (S. aegyptiaca) and “ma” (S. magnifica). |female |Newsholme, 1992||||||x||S. aegyptiaca L. |S. magnifica Hemsl.|||A female clone of hybrid origin (S. aegyptiaca L. × S. magnifica Hemsl.) (Newsholme, 1992). It is a wide-spreading small tree up to 3-6 m tall, with an unusually rigid form. It has a smooth gray trunk and thick stiff dark-brown branches. Leaves are 15 cm long and 8 cm wide with dark-green and glabrous topsides with glaucous undersides. Catkins are stiff, erect. ||||||||Established|‘Aegma Brno’ was a tentatively accepted name for a female cultivar in the 2018 RHS HD.|‘Aegma Brno’ was sold by one UK nursery (2018 RHS PF). |||
| ‘Agneta’|||S.|||National Plant Variety Board Gazette|CPVO||||1994||||||Sweden|No description of this cultivar was found. The cultivar was listed in the CPVO as filed by the Saxhytte Gård AB, Sweden, in 1994 and published in the National Plant Variety Board Gazette.|Saxhytte Gård AB|||||||Established|||||
|‘Agronales INTA-CIFF’|||S.|||Catálogo Nacional de Cultivares'|CPVO grant No. 014153||||2013||||||Argentina|No description of this cultivar was found. The cultivar was registered by the Instituto Nacional de Technologia Agropecuaria (INTA), Argentina, in 2013 (CPVO grant No. 014153) and published in the Catálogo Nacional de Cultivares'.  ||||||||Established|||||
|‘Akame’|||S.|“Akame-yanagi” is a Japanese vernacular name for S. chaenomeloides Kimura. ||LNWP 2016–2020 ||||||||||||No description of this cultivar was found. ||||||||Established|‘Akame’ was the preferred name in the LNWP 2016–2020 (listed as a cultivar recorded before 1995). |‘Akame’ was found in trade in the Netherlands (2018 PS).|||
|‘Gusta’ |‘Gústa’||S. alaxensis (Andersson) Coville||female |Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015|||||||||||Iceland |A large female shrub, or small tree if left undisturbed, with attractive gray, pubescent branchlets, similar to ‘Gutti’ and ‘Hrima’. Long branches are glabrous and covered with bloom, while its branchlets are covered with short hair, which appears as wax. The leaves, which are about 4 × 10 cm, are narrower than the species, which has typically 6 × 10 cm leaves. A selection from Iceland (Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015).||||||||Established|||||
|‘Gutti’|||S. alaxensis (Andersson) Coville||male |Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015|||||||||||Iceland |A large male shrub or small tree if left undisturbed, up to 5 m tall with attractive gray, hairy branchlets, similar to ‘Gusta’ and ‘Hrima’. Long branches are glabrous and covered with bloom. A selection from Iceland (Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015). Note: ‘Gutta’ was an orthographic variant or misspelled ‘Gutti’.  Pállsonn (1997) listed both epithets on different pages of the publication (‘Gutta’ on p.17 and ‘Gutti’ on p.28).||||||||Established|||||
