id,species_name,Description,web_url_1,web_url_2
1,N/A,Data Not Available,N/A,N/A
2,S.,N/A,N/A,N/A
3,S. acutifolia Willd.,N/A,N/A,N/A
4,S. aegyptiaca L. × S. magnifica Hemsl.,N/A,N/A,N/A
5,S. alaxensis (Andersson) Coville,N/A,N/A,N/A
6,S. alba L.,N/A,N/A,N/A
7,S. amplexicaulis Bory & Chaub.,N/A,N/A,N/A
8,S. apennina A.K. Skvortsov,N/A,N/A,N/A
9,S. arbuscula L.,N/A,N/A,N/A
10,S. arctica Pall.,N/A,N/A,N/A
11,S. arctophila Cockerell,N/A,N/A,N/A
12,S. ×argentinensis Ragonese & F.R.Alberti (S. babylonica L. × S. humboldtiana Willd.),N/A,N/A,N/A
13,S. aurita L.,N/A,N/A,N/A
14,S. ×aurora Laest. ex Andersson,N/A,N/A,N/A
15,S. babylonica L.,N/A,N/A,N/A
16,S. barclayi Andersson,N/A,N/A,N/A
17,S. bebbiana Sarg.,N/A,N/A,N/A
18,S. brachycarpa Nutt.,N/A,N/A,N/A
19,S. × calliantha Jos.Kern.,N/A,N/A,N/A
20,S. caprea L.,N/A,N/A,N/A
21,S. caspica Pall.,N/A,N/A,N/A
22,S. cinerea L.,N/A,N/A,N/A
23,S. columbiana Argus,N/A,N/A,N/A
24,S. commutata Bebb,N/A,N/A,N/A
25,S. cordata Michx.,N/A,N/A,N/A
26,S. crenata K.S.Hao ex C.F.Fang & A.K.Skvortsov,N/A,N/A,N/A
27,S. daphnoides Vill.,N/A,N/A,N/A
28,S. divaricata Pall.,N/A,N/A,N/A
29,S. ×doniana Sm. (S. purpurea L. × S. repens L.),N/A,N/A,N/A
30,S. drummondiana Barratt ex Hook.,N/A,N/A,N/A
31,S. eleagnos Scop.,N/A,N/A,N/A
32,S. eriocephala Michx.,N/A,N/A,N/A
33,S. euxina I.V.Belyaeva (former S. fragilis auct.,N/A,N/A,N/A
34,S. exigua Nutt.,N/A,N/A,N/A
35,S. foetida Schleich.,N/A,N/A,N/A
36,S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.),N/A,N/A,N/A
37,S. ×fragilis f. vitellina (L.) I.V. Belyaeva,N/A,N/A,N/A
