id|species|mother_lower_case|father_lower_case|mother_orig_case|father_orig_case
1|S. alba L.|N/A|N/A|N/A|N/A
2|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
3|N/A|N/A|N/A|N/A|N/A
4|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
5|S. purpurea L.|N/A|N/A|N/A|N/A
6|S. pentandra L.|N/A|N/A|N/A|N/A
7|S. acutifolia Willd.|N/A|N/A|N/A|N/A
8|S.|N/A|N/A|N/A|N/A
9|S.|s. schwerinii e.l.wolf|s. viminalis l.|S. schwerinii E.L.Wolf|S. viminalis L.
10|S. aegyptiaca L. × S. magnifica Hemsl.|s. aegyptiaca l.|s. magnifica hemsl.|S. aegyptiaca L.|S. magnifica Hemsl.
11|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
12|S. daphnoides Vill.|N/A|N/A|N/A|N/A
13|S.|N/A|N/A|N/A|N/A
14|S.|N/A|N/A|N/A|N/A
15|S.|N/A|N/A|N/A|N/A
16|S. monticola Bebb.|N/A|N/A|N/A|N/A
17|S.|s. koryanagi kimura ex goerz sh3|s. purpurea l. 95058|S. koryanagi Kimura ex Goerz ‘SH3’|S. purpurea L. ‘95058’
18|S.|N/A|N/A|N/A|N/A
19|S. nigra Marshall|N/A|N/A|N/A|N/A
20|S. viminalis L.|N/A|N/A|N/A|N/A
21|S. triandra L.|N/A|N/A|N/A|N/A
22|S. eriocephala Michx.|N/A|N/A|N/A|N/A
23|S.|s. eriocephala michx.|s. petiolaris sm.|S. eriocephala Michx.|S. petiolaris Sm.
24|S. schwerinii E.L.Wolf|N/A|N/A|N/A|N/A
25|S. purpurea L.|N/A|N/A|N/A|N/A
26|S. alba L.|N/A|N/A|N/A|N/A
27|S. eleagnos Scop.|N/A|N/A|N/A|N/A
28|S. gmelinii Pall. (syn. S. dasyclados Wimm., S. burjatica Nasarow)|N/A|N/A|N/A|N/A
29|S. purpurea L.|N/A|N/A|N/A|N/A
30|S.|N/A|N/A|N/A|N/A
31|S.|N/A|N/A|N/A|N/A
32|S.|N/A|N/A|N/A|N/A
33|S. aurita L.|N/A|N/A|N/A|N/A
