id|name_unique_lowercase_mother_father|mother_origcase_unique|father_origcase_unique
1|N/A|N/A|N/A
2|s. aegyptiaca l.~s. magnifica hemsl.|S. aegyptiaca L.|S. magnifica Hemsl.
3|s. alba l.~s. pendulina f. salamonii i.v.belyaeva|S. alba L.|S. pendulina f. salamonii I.V.Belyaeva
4|s. alba l.~s. ×pendulina wender. f. pendulina|S. alba L.|S. ×pendulina Wender. f. pendulina
5|s. alba l.~s. ×glatfelterii c.k.schneid. (s. nigra marshall × s. amygdaloides andersson)|S. alba L.|S. ×glatfelterii C.K.Schneid. (S. nigra Marshall × S. amygdaloides Andersson)
6|s. alba l.~s. × pendulina f. salamonii i.v.belyaeva ‘chrysocoma’|S. alba L.|S. × pendulina f. salamonii I.V.Belyaeva ‘Chrysocoma’
7|s. alba l.~s. babylonica f. tortuosa y.l.chou|S. alba L.|S. babylonica f. tortuosa Y.L.Chou
8|s. alba l.~× s. babylonica f. tortuosa y.l.chou|S. alba L.|× S. babylonica f. tortuosa Y.L.Chou
9|s. alba l. × s. babylonica l.~s. euxina i.v.belyaeva ×s. pentandra l.|S. alba L. × S. babylonica L.|S. euxina I.V.Belyaeva ×S. pentandra L.
10|s. alba var. sericea~s. babylonica l. ‘tortuosa’|S. alba var. sericea|S. babylonica L. ‘Tortuosa’
11|s. ‘americana’~s. eleagnos scop. ‘angustifolia’|S. ‘Americana’|S. eleagnos Scop. ‘Angustifolia’
12|s. ‘astrid’~s. viminalis l.|S. ‘Astrid’|S. viminalis L.
13|s. ‘astrid’~s. ‘björn’|S. ‘Astrid’|S. ‘Björn’
14|s. babylonica f. tortuosa y.l.chou~s. alba l. × s. ×pendulina wender. f. pendulina|S. babylonica f. tortuosa Y.L.Chou|S. alba L. × S. ×pendulina Wender. f. pendulina
15|s. babylonica l.~s. alba l.|S. babylonica L.|S. alba L.
16|s. babylonica l.~s. humboldtiana willd.|S. babylonica L.|S. humboldtiana Willd.
17|s. babylonica l. (as s. matsudana koidz.)~s. alba l.|S. babylonica L. (as S. matsudana Koidz.)|S. alba L.
18|s. babylonica l. × s. leucopithecia kimura~s. suchowensis w.c. cheng ex g.h. zhu × s. leucopithecia kimura|S. babylonica L. × S. leucopithecia Kimura|S. suchowensis W.C. Cheng ex G.H. Zhu × S. leucopithecia Kimura
19|s. babylonica l. ‘tortuosa’~s. ×pendulina wender. ‘blanda’ × s. alba l.|S. babylonica L. ‘Tortuosa’|S. ×pendulina Wender. ‘Blanda’ × S. alba L.
20|s. babylonica l. ‘tortuosa’~s. pentandra l.|S. babylonica L. ‘Tortuosa’|S. pentandra L.
21|s. babylonica l. ‘tortuosa’~s. alba var. recticapus hort.|S. babylonica L. ‘Tortuosa’|S. alba var. recticapus Hort.
22|s. ‘bowles hybrid’~s. ‘björn’|S. ‘Bowles Hybrid’|S. ‘Björn’
23|s. ‘bowles hybrid’~s. ‘sw 901317’|S. ‘Bowles hybrid’|S. ‘SW 901317’
24|s. caprea l.~s. phylicifolia l.|S. caprea L.|S. phylicifolia L.
25|s. daphnoides vill.~s. ×erdingeri a.kern.|S. daphnoides Vill.|S. ×erdingeri A.Kern.
26|s. discolor muhl.~s. myricoides muhl. (as s. glaucophylloides fernald)|S. discolor Muhl.|S. myricoides Muhl. (as S. glaucophylloides Fernald)
27|s. eriocephala michx.~s. petiolaris sm.|S. eriocephala Michx.|S. petiolaris Sm.
28|s. ×fragilis l. (as s. fragilis)~s. babylonica l. (as s. matsudana koiz.)|S. ×fragilis L. (as S. fragilis)|S. babylonica L. (as S. matsudana Koiz.)
29|s. gmelinii (as s. dasyclados) ‘dasy 86‘~s. gmelinii (as s. dasyclados) ‘dasy 89‘|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|S. gmelinii (as S. dasyclados) ‘Dasy 89‘
30|s. gmelinii (as s. dasyclados) ‘dasy 86’~s. gmelinii (as s. dasyclados) ‘dasy 89’|S. gmelinii (as S. dasyclados) ‘Dasy 86’|S. gmelinii (as S. dasyclados) ‘Dasy 89’
31|s. gmelinii (as s. dasyclados) ‘dasy 86‘~s. gmelinii (as s. dasyclados) ‘dasy 88‘|S. gmelinii (as S. dasyclados) ‘Dasy 86‘|S. gmelinii (as S. dasyclados) ‘Dasy 88‘
32|s. gmelinii pall. (as s. dasyclados wimm.)~s. turanica nasarow × s. leucopithecia kimura|S. gmelinii Pall. (as S. dasyclados Wimm.)|S. turanica Nasarow × S. leucopithecia Kimura
33|s. hastata l. ‘wehrhahnii’~s. lanata l.|S. hastata L. ‘Wehrhahnii’|S. lanata L.
34|s. ‘helga’~s. ‘långa-veka röd’|S. ‘Helga’|S. ‘Långa-Veka röd’
35|s. ‘inger’~s. ‘sw 010480’|S. ‘Inger’|S. ‘SW 010480’
36|s. ‘jorunn’~s. ‘björn’|S. ‘Jorunn’|S. ‘Björn’
37|s. koryanagi kimura ex goerz ‘sh3’~s. purpurea l. ‘94002’|S. koryanagi Kimura ex Goerz ‘SH3’|S. purpurea L. ‘94002’
38|s. koryanagi kimura ex goerz ‘sh3’~s. purpurea l. ‘95058’|S. koryanagi Kimura ex Goerz ‘SH3’|S. purpurea L. ‘95058’
39|s. ‘l 78195’~s. ‘l 78101’|S. ‘L 78195’|S. ‘L 78101’
40|s. ‘l 79069’~s. ‘orm’|S. ‘L 79069’|S. ‘Orm’
41|s. ‘l 810203’~s. ‘nl 420’|S. ‘L 810203’|S. ‘NL 420’
42|s. ‘l 814220’~s. ‘l 820381’|S. ‘L 814220’|S. ‘L 820381’
43|s. ‘l 830201’~s. ‘nl 420’|S. ‘L 830201’|S. ‘NL 420’
44|s. ‘l 830332’~s. ‘nl 420’|S. ‘L 830332’|S. ‘NL 420’
45|s. lanata~s. lapponum l.|S. lanata|S. lapponum L.
46|s. ledebouriana trautv. f. kuraica liss.~a hybrid of s. purpurea l.|S. ledebouriana Trautv. f. kuraica Liss.|a hybrid of S. purpurea L.
47|s. ‘linnéa’~s. miyabeana seemen|S. ‘Linnéa’|S. miyabeana Seemen
48|s. magnifica hemsl.~s. ×erdingeri a.kern.|S. magnifica Hemsl.|S. ×erdingeri A.Kern.
49|s. magnifica hemsl.~s. muscina dode ex flod.|S. magnifica Hemsl.|S. muscina Dode ex Flod.
50|s. matsudana ‘lafayette’~s. alba (accession # 99010)|S. matsudana ‘LaFayette’|S. alba (accession # 99010)
51|s. miyabeana seemen~s. viminalis l.|S. miyabeana Seemen|S. viminalis L.
52|s. miyabeana seemen ‘sx61’~s. miyabeana ‘sx67’|S. miyabeana Seemen ‘SX61’|S. miyabeana ‘SX67’
53|s. miyabeana ‘sx61’ (previously listed as s. sachalinensis ‘sx61’)~s. miyabeana ‘sx64’|S. miyabeana ‘SX61’ (previously listed as S. sachalinensis ‘SX61’)|S. miyabeana ‘SX64’
54|s. myrsinifolia salisb.~s. phylicifolia l.|S. myrsinifolia Salisb.|S. phylicifolia L.
55|s. × pendulina f. salamonii i.v.belyaeva ‘vitellina-tristis’~s. babylonica l. ‘babylon’|S. × pendulina f. salamonii I.V.Belyaeva ‘Vitellina-tristis’|S. babylonica L. ‘Babylon’
56|s. pentandra l.~s. euxina i.v.belyaeva|S. pentandra L.|S. euxina I.V.Belyaeva
57|s. pentandra l.~s. ´fragilis l.|S. pentandra L.|S. ´fragilis L.
58|s. pentandra l.~s. triandra l.|S. pentandra L.|S. triandra L.
59|s. purpurea l.~× s. miyabeana seemen|S. purpurea L.|× S. miyabeana Seemen
60|s. purpurea l.~s. miyabeana seemen|S. purpurea L.|S. miyabeana Seemen
61|s. purpurea l. ‘94006’~s. purpurea ‘94001’|S. purpurea L. ‘94006’|S. purpurea ‘94001’
62|s. purpurea l. ‘94006’~s. miyabeana seemen ‘sx67’|S. purpurea L. ‘94006’|S. miyabeana Seemen ‘SX67’
63|s. purpurea l. ‘95026’~s. miyabeana seemen ‘sx64’|S. purpurea L. ‘95026’|S. miyabeana Seemen ‘SX64’
64|s. ‘rot 7’~s. ‘n 2420’|S. ‘Rot 7’|S. ‘N 2420’
65|s. schwerinii e.l.wolf~s. schwerinii e.l.wolf ´ s. udensis trautv. & c. meyer|S. schwerinii E.L.Wolf|S. schwerinii E.L.Wolf ´ S. udensis Trautv. & C. Meyer
66|s. schwerinii e.l.wolf~s. gmelinii pall.|S. schwerinii E.L.Wolf|S. gmelinii Pall.
67|s. schwerinii e.l.wolf~s. viminalis l.|S. schwerinii E.L.Wolf|S. viminalis L.
68|s. schwerinii e.l.wolf~unknown|S. schwerinii E.L.Wolf|unknown
69|s. schwerinii e.l.wolf ‘l 79069’~s. ‘orm’|S. schwerinii E.L.Wolf ‘L 79069’|S. ‘Orm’
70|s. ‘sherwood’~s. ‘björn’|S. ‘Sherwood’|S. ‘Björn’
71|s. suchowensis w.c. cheng ex g.h. zhu~s. leucopithecia kimura|S. suchowensis W.C. Cheng ex G.H. Zhu|S. leucopithecia Kimura
72|s. ‘sw 901321’~s. ‘sw 881031’|S. ‘SW 901321’|S. ‘SW 881031’
73|s. ‘sw 901321’~s. ‘sw 881128’|S. ‘SW 901321’|S. ‘SW 881128’
74|s. ‘sw 911096’~s. ‘jorr’|S. ‘SW 911096’|S. ‘Jorr’
75|s. ‘sw 930887’~s. ‘björn’|S. ‘SW 930887’|S. ‘Björn’
76|s. ‘sw 950236’~s. ‘ivar’|S. ‘SW 950236’|S. ‘Ivar’
77|s. ‘sw 960039’~s. ‘olof’|S. ‘SW 960039’|S. ‘Olof’
78|s. ‘sw 960503’~s. ‘la 970111’|S. ‘SW 960503’|S. ‘LA 970111’
79|s. ‘sw 980168’~s. ‘olof’|S. ‘SW 980168’|S. ‘Olof’
80|s. ‘sw inger’~s. ‘wilhelm‘|S. ‘SW Inger’|S. ‘Wilhelm‘
81|s. ‘sw inger’~s. ‘olof’|S. ‘SW Inger’|S. ‘Olof’
82|s. ‘sw inger’~s. ‘sven’|S. ‘SW Inger’|S. ‘Sven’
83|s. ‘tora’~s. ‘orm’|S. ‘Tora’|S. ‘Orm’
84|s. ‘tora’~s. aegyptiaca l.|S. ‘Tora’|S. aegyptiaca L.
85|s. ‘tora’~s. ‘ulv’|S. ‘Tora’|S. ‘Ulv’
86|s. ‘tordis’~s. ‘olof’|S. ‘Tordis’|S. ‘Olof’
87|s. ‘tordis’~s. ‘björn’|S. ‘Tordis’|S. ‘Björn’
88|s. ‘tordis’~s. gmelinii pall|S. ‘Tordis’|S. gmelinii Pall
89|s. ‘torhild’~s. ‘sw 990562’|S. ‘Torhild’|S. ‘SW 990562’
90|s. udensis trautv. & c.a.mey.~s. miyabeana seemen|S. udensis Trautv. & C.A.Mey.|S. miyabeana Seemen
91|s. udensis trautv. & c.a.mey. (as s. sachalinensis f.schmidt)~s. miyabeana seemen|S. udensis Trautv. & C.A.Mey. (as S. sachalinensis F.Schmidt)|S. miyabeana Seemen
