id|name_unique-lowercase_mother_father|name_unique_origcase_mother_father|mother_origcase_unique|father_origcase_unique
1|s. aegyptiaca l.~s. magnifica hemsl.|S. aegyptiaca L.~S. magnifica Hemsl.|S. aegyptiaca L.|S. magnifica Hemsl.
2|s. alba l.~× s. babylonica f. tortuosa y.l.chou|S. alba L.~× S. babylonica f. tortuosa Y.L.Chou|S. alba L.|S. pendulina f. salamonii I.V.Belyaeva
3|s. alba l.~s. babylonica f. tortuosa y.l.chou|S. alba L.~S. babylonica f. tortuosa Y.L.Chou|S. alba L.|S. ×pendulina Wender. f. pendulina
4|s. alba l. × s. babylonica l.~s. euxina i.v.belyaeva ×s. pentandra l.|S. alba L. × S. babylonica L.~S. euxina I.V.Belyaeva ×S. pentandra L.|S. alba L.|S. ×glatfelterii C.K.Schneid. (S. nigra Marshall × S. amygdaloides Andersson)
5|s. alba l.~s. ×glatfelterii c.k.schneid. (s. nigra marshall × s. amygdaloides andersson)|S. alba L.~S. ×glatfelterii C.K.Schneid. (S. nigra Marshall × S. amygdaloides Andersson)|S. alba L.|S. × pendulina f. salamonii I.V.Belyaeva ‘Chrysocoma’
6|s. alba l.~s. pendulina f. salamonii i.v.belyaeva|S. alba L.~S. pendulina f. salamonii I.V.Belyaeva|S. alba L.|S. babylonica f. tortuosa Y.L.Chou
7|s. alba l.~s. × pendulina f. salamonii i.v.belyaeva chrysocoma|S. alba L.~S. × pendulina f. salamonii I.V.Belyaeva Chrysocoma|S. alba L.|× S. babylonica f. tortuosa Y.L.Chou
8|s. alba l.~s. ×pendulina wender. f. pendulina|S. alba L.~S. ×pendulina Wender. f. pendulina|S. alba L. × S. babylonica L.|S. euxina I.V.Belyaeva ×S. pentandra L.
9|s. alba var. sericea~s. babylonica l. tortuosa|S. alba var. sericea~S. babylonica L. Tortuosa|S. alba var. sericea|S. babylonica L. ‘Tortuosa’
10|s. americana~s. eleagnos scop. angustifolia|S. Americana~S. eleagnos Scop. Angustifolia|S. ‘Americana’|S. eleagnos Scop. ‘Angustifolia’
11|s. astrid~s. björn|S. Astrid~S. Björn|S. ‘Astrid’|S. viminalis L.
12|s. astrid~s. viminalis l.|S. Astrid~S. viminalis L.|S. ‘Astrid’|S. ‘Björn’
