id|species_name|species_name_lower_case
1|N/A|n/a
2|S.|s.
3|S. acutifolia Willd.|s. acutifolia willd.
4|S. aegyptiaca L. × S. magnifica Hemsl.|s. aegyptiaca l. × s. magnifica hemsl.
5|S. alaxensis (Andersson) Coville|s. alaxensis (andersson) coville
6|S. alba L.|s. alba l.
7|S. amplexicaulis Bory & Chaub.|s. amplexicaulis bory & chaub.
8|S. apennina A.K. Skvortsov|s. apennina a.k. skvortsov
9|S. arbuscula L.|s. arbuscula l.
10|S. arctica Pall.|s. arctica pall.
11|S. arctophila Cockerell|s. arctophila cockerell
12|S. ×argentinensis Ragonese & F.R.Alberti (S. babylonica L. × S. humboldtiana Willd.)|s. ×argentinensis ragonese & f.r.alberti (s. babylonica l. × s. humboldtiana willd.)
13|S. aurita L.|s. aurita l.
14|S. ×aurora Laest. ex Andersson|s. ×aurora laest. ex andersson
15|S. babylonica L.|s. babylonica l.
16|S. barclayi Andersson|s. barclayi andersson
17|S. bebbiana Sarg.|s. bebbiana sarg.
18|S. brachycarpa Nutt.|s. brachycarpa nutt.
19|S. × calliantha Jos.Kern.|s. × calliantha jos.kern.
20|S. caprea L.|s. caprea l.
21|S. caspica Pall.|s. caspica pall.
22|S. cinerea L.|s. cinerea l.
23|S. columbiana Argus|s. columbiana argus
24|S. commutata Bebb|s. commutata bebb
25|S. cordata Michx.|s. cordata michx.
26|S. crenata K.S.Hao ex C.F.Fang & A.K.Skvortsov|s. crenata k.s.hao ex c.f.fang & a.k.skvortsov
27|S. daphnoides Vill.|s. daphnoides vill.
28|S. divaricata Pall.|s. divaricata pall.
29|S. ×doniana Sm. (S. purpurea L. × S. repens L.)|s. ×doniana sm. (s. purpurea l. × s. repens l.)
30|S. drummondiana Barratt ex Hook.|s. drummondiana barratt ex hook.
31|S. eleagnos Scop.|s. eleagnos scop.
32|S. eriocephala Michx.|s. eriocephala michx.
33|S. euxina I.V.Belyaeva (former S. fragilis auct., non L.)|s. euxina i.v.belyaeva (former s. fragilis auct., non l.)
34|S. exigua Nutt.|s. exigua nutt.
35|S. foetida Schleich.|s. foetida schleich.
36|S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|s. ×forbiana sm. (s. purpurea l. × s. viminalis l.)
37|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|s. ×fragilis f. vitellina (l.) i.v. belyaeva
38|S. ×fragilis L. f. fragilis|s. ×fragilis l. f. fragilis
39|S. ×fruticosa Döll (S. aurita L. × S. viminalis L.)|s. ×fruticosa döll (s. aurita l. × s. viminalis l.)
40|S. gilgiana Seemen|s. gilgiana seemen
41|S. glauca L.|s. glauca l.
42|S. gmelinii Pall. (syn. S. dasyclados Wimm., S. burjatica Nasarow)|s. gmelinii pall. (syn. s. dasyclados wimm., s. burjatica nasarow)
43|S. gracilistyla Miq.|s. gracilistyla miq.
44|S. ×grahamii Borrer ex Baker|s. ×grahamii borrer ex baker
45|S. hastata L.|s. hastata l.
46|S. helvetica Vill.|s. helvetica vill.
47|S. ×hirtei Strachler (S. aurita L. × S. cinerea L. × viminalis L.)|s. ×hirtei strachler (s. aurita l. × s. cinerea l. × viminalis l.)
48|S. hookeriana Barratt ex Hook.|s. hookeriana barratt ex hook.
49|S. humboldtiana Willd.|s. humboldtiana willd.
50|S. integra Thunb.|s. integra thunb.
51|S. interior Rowlee|s. interior rowlee
52|S. irrorata Andersson|s. irrorata andersson
53|S. lanata L.|s. lanata l.
54|S. lapponum L.|s. lapponum l.
55|S. lasiandara Benth.|s. lasiandara benth.
56|S. lasiolepis Benth.|s. lasiolepis benth.
57|S. ledebouriana Trautv.|s. ledebouriana trautv.
58|S. lemmonii Bebb|s. lemmonii bebb
59|S.·×leucopithecia Kimura (S. caprea L. × S. gracilistyla Miq.)|s.·×leucopithecia kimura (s. caprea l. × s. gracilistyla miq.)
60|S. ligulifolia (C.R.Ball) C.R.Ball ex C.K.Schneid.|s. ligulifolia (c.r.ball) c.r.ball ex c.k.schneid.
61|S. ×meyeriana Rostk. ex Willd. (S. euxina I.V.Belyaeva × S. pentandra L.)|s. ×meyeriana rostk. ex willd. (s. euxina i.v.belyaeva × s. pentandra l.)
62|S. miyabeana Seemen|s. miyabeana seemen
63|S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|s. ×mollissima hoffm. ex elwert (s. triandra l. × s. viminalis l.)
64|S. monticola Bebb.|s. monticola bebb.
65|S. myricoides Muhl.|s. myricoides muhl.
66|S. myrsinifolia Salisb.|s. myrsinifolia salisb.
67|S. myrsinites L.|s. myrsinites l.
68|S. nigra Marshall|s. nigra marshall
69|S. ×pendulina f. erythroflexuosa I.V.Belyaeva (S. babylonica f. tortuosa Y.L.Chou × S. pendulina f. salamonii I.V.Belyaeva)|s. ×pendulina f. erythroflexuosa i.v.belyaeva (s. babylonica f. tortuosa y.l.chou × s. pendulina f. salamonii i.v.belyaeva)
70|S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)|s. × pendulina f. pendulina (s. alba l. × s. babylonica l. × s. euxina i.v.belyaeva)
71|S. ×pendulina f. salamonii I.V. Belyaeva (S. babylonica L. × S. ×fragilis f. vitellina I.V. Belyaeva)|s. ×pendulina f. salamonii i.v. belyaeva (s. babylonica l. × s. ×fragilis f. vitellina i.v. belyaeva)
72|S. pentandra L.|s. pentandra l.
73|S. phylicifolia L.|s. phylicifolia l.
74|S. pierotii Miq.|s. pierotii miq.
75|S. purpurea L.|s. purpurea l.
76|S. reinii Franch. & Sav. ex Seemen|s. reinii franch. & sav. ex seemen
77|S. repens L.|s. repens l.
78|S. retusa L.|s. retusa l.
79|S. rorida Laksch.|s. rorida laksch.
80|S. rosmarinifolia L.|s. rosmarinifolia l.
81|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|s. ×rubra huds. (s. purpurea l. × s. viminalis l.)
82|S. schwerinii E.L.Wolf|s. schwerinii e.l.wolf
83|S. serpyllifolia Scop.|s. serpyllifolia scop.
84|S. ×sibyllina F.B.White (S. lapponum L. × S. reticulata L.)|s. ×sibyllina f.b.white (s. lapponum l. × s. reticulata l.)
85|S. silicicola Raup|s. silicicola raup
86|S. sitchensis Sanson ex Bong.|s. sitchensis sanson ex bong.
87|S. ×smithiana Willd. (S. cinerea L. × S. viminalis L.)|s. ×smithiana willd. (s. cinerea l. × s. viminalis l.)
88|S. triandra L.|s. triandra l.
89|S. ×tsugaluensis Koidz.|s. ×tsugaluensis koidz.
90|S. udensis Trautv. & C.A.Mey.|s. udensis trautv. & c.a.mey.
91|S. viminalis L.|s. viminalis l.
92|S. vinogradovii A.K.Skvortsov|s. vinogradovii a.k.skvortsov
93|S. waldsteiniana Willd.|s. waldsteiniana willd.
