journal_key|id|notes|author|id_plant|id_family|id_test_spec|id_site|date|web_url
2010-Bell-Nursery-update|3|The 2010 Phase 3 Breeding Project was successful.  There were 19 P. alba crosses produced resulting in over 5,000 seedlings that were grown by Patrick McGovern and Brad Bender.  There are about 40 selections that will be carried forward into the 2012 season for further evaluation.  There is an estimated 34,000 plus seeds remaining from the Phase 3 crosses.  The 83xAA04 family continues to show good rooting performance.  Thirteen ASP/SASP shoot rooting tests were performed, resulting in 4 selections that will be compared to the parent family 100xAA10 for hardwood cutting rooting performance. Seven 6 foot plus alba whips were planted in the nursery to evaluate this process.  All survived and more tests are planned for 2012. Two well stocked 288 cell flats were planted as is to evaluate whole flat planting as an early selection technique.  The results were interesting with the high survival rate and 17 selections.|pmcgovern|1|1|1|1|2010-12-16|0
2011-Bell-Nursery-update|4|I have posted my 2011 Bell Nursery Results that describe dormant cuttingrooting results and selections from Phase 3 families (P3) and Phase 2(P2) clones.  I expect to replant the selections in the 2012 nursery withat least 20 cuttings each.  The 2011 growing season was very good withample Spring moisture and Summer heat.  I planted the more standardized 6" cuttings instead of 4" and am pleased with the results.It was interesting to watch the growth of the 4 rooted 1-0 83AA204 treescut back to 3" root and shoots.  Two of these stools grew 12' in thenursery this year!  See the 2011 Bell Nursery Photos for more details.|pmcgovern|1|1|1|1|2011-11-01|0
2012-bell-nursery|5|Planted 2012-bell-nursery.	Half of the 2012 cutting stock was stored in the Bell Ave. refrigerator and sprouted/rooted due to high temperatures.  The other half was stored in Ryans refrigerator and suffered no damage.  About 1/4 of the entire stock was severely impacted by this issue.   All of the pre-maturely rooted stock was planted at the beginning of each replication.  The second replication was affected the most.  I planted the stock as is by forcing them into the ground with no special treatment.  March was much warmer than April (first time in 100yrs) and April had many frosty mornings which may have been stressful on cuttings.  The nursery was kept moist as needed with irrigation. |pmcgovern|2|2|14|2|2012-04-06|0
2012-bell-nursery|6|I put red straws next to early and vigorously growing and good rooting clones.  Selection criteria was for clones with at least 90% survival and averaging at least 6 height on 5/30/12.|pmcgovern|2|2|14|2|2012-05-30|0
2011-RNE-AlbaPolePlanting|7|Planted 3 clones at RNE as pole stock in early November 2011.  I used a 2 foot auger attached to a portable drill.  |pmcgovern|2|2|17|2|2011-11-05|0
2011-RNE-AlbaPolePlanting|8|On 4/21/12 I sprayed Round around these pole plantings.  We had a warmer March and a frosty/cold April.  It really hit these hard... |pmcgovern|2|2|17|2|2012-04-21|0
2011-RNE-AlbaPolePlanting|9|On 6/23/12. I sprayed Round around these pole plantings.  Only one 83AA204 tree survived and it was pruned back by deer browse...|pmcgovern|2|2|17|2|2012-06-23|0
2011-1xCAGW-Cross|10|Planted 2 flats of this 2011 seed in 2012, cut tips today.	Observed that there are 2 general types of seedlings, alba (tomentose on leaf undersides) and aspen like (no tomentose) on leaf undersides.  I counted 174 total seedlings in Flat B with 47 aspen types (27%) and 109 in Flat A with 33 aspen types (30%). |pmcgovern|2|2|16|2|2012-06-23|0
2012-2xCAG12-Cross|11|C173 x AG15 - planted about 350 seedlings on 6/16/12 that were grown indoors under flourescent lights.  Seedlings today are average 5 tall and in good health.|pmcgovern|2|2|15|2|2012-06-28|0
1CAGW01|12|Selected this clone today from the 1xCAGW family.  It is vigorous and leaves are healthy.  Observed another aspen like clone from the same family with yellow rust like leaf spots...|pmcgovern|181|171|14|2|2012-06-28|0
2012-2xCAG12-Cross|13|Most of the 2xCAG12 seedlings have set bud.  A few are over 6' tall, some are 5' tall the average is about 4' tall.  While all seedlings have obvious alba influence, many have more aspen or alba traits in terms of tomentose on leaf and stems and some have alba leaves vs the aspen types that have the more intermediate (AG) type leaves.	|pmcgovern|2|173|15|2|2012-08-28|0
