id|dbh|dbh_rank|name|area_index|Sum_DBH_Ratio2_cD|sDBH_x_cAVG
1|5.6|131|17XGA24|221.36|3.17|13.58
2|3.2|186|17XGA04|122.51|2.28|14.48
3|8|44|17XGA04|200.73|9.59|23.4
4|4|167|17XGA5|138.35|3.65|15.6
5|5.8|123|82XAA04|172.79|6.24|18.85
6|5|145|82XAA04|141.89|3.54|22.63
7|8.7|22|82XAA04|215.4|6.17|25.45
8|0|208|82XAA04|0|0|0
9|0|208|2XT4E04|0|0|0
10|0|208|2XT4E04|0|0|0
11|0|208|2XT4E04|0|0|0
12|0|208|2XT4E04|0|0|0
13|8.7|23|83XAA04|220|3.6|25.01
14|9.8|5|83XAA04|206.49|7.33|32.46
15|9.4|7|83XAA04|205.42|6.97|31.84
16|8.9|17|83XAA04|207.91|6.89|27.48
17|6.3|101|81XAA04|170.58|3.49|23.78
18|9.3|9|81XAA04|180.84|6.84|40.45
19|7.9|48|81XAA04|171.23|6.07|35.35
20|4|168|81XAA04|171.41|2.52|14.15
21|0|208|NM6|0|0|0
22|9.4|8|80XAA04|187.05|8.17|38.66
23|6.8|83|80XAA04|81.66|8.58|48.03
24|6.4|97|80XAA04|89.87|9.91|39.28
25|3|189|80XAA04|32.15|3.77|20.21
26|8|45|84XAA04|121.35|13.62|42.2
27|6|115|84XAA04|81.98|8.47|37.13
28|7.7|53|84XAA04|130.97|10.55|37.06
29|4.7|155|84XAA04|110.43|4.48|23.97
30|4.4|161|18XAG04|146.12|3.8|16.83
31|6|116|18XAG04|178.91|3.97|20.02
32|8.2|38|18XAG04|192.77|4.92|29.42
33|7.7|54|18XAG04|165.46|3.67|32.82
34|0|208|81XAA04|0|0|0
35|5.5|133|81XAA04|82.41|6.09|35.34
36|2.9|192|81XAA04|42.34|2.79|19.32
37|0|208|81XAA04|0|0|0
38|6.1|109|80XAA04|88.47|6.08|38.58
39|5.9|119|80XAA04|67.6|6.85|42.19
40|8.6|25|80XAA04|103.72|10.9|58.05
41|8|46|80XAA04|125.91|9.64|45.5
42|3.8|174|NM6|168.37|2.37|13.4
43|8.9|18|83XAA04|205.22|5.34|32.26
44|8.4|28|83XAA04|140.92|7.57|44.62
45|6.6|89|83XAA04|137.26|7.21|31.43
46|9.1|15|83XAA04|163.19|9.93|41.29
47|6|117|1XTE04|103.63|8.25|30.97
48|3.3|184|1XTE04|42.52|4.63|19.88
49|5|146|1XTE04|77.07|7.96|27.06
50|5.8|124|1XTE04|92.1|10.81|31.18
51|9.2|12|80XAA04|147.96|18.96|42.43
52|4.9|151|80XAA04|134.97|7.6|19.78
53|0|208|80XAA04|0|0|0
54|10.1|3|80XAA04|205.51|5.95|35.48
55|7.1|76|82XAA04|145.35|5.28|31.68
56|7.3|68|82XAA04|143.4|8.51|30.93
57|6.2|104|82XAA04|127.26|6.79|28.44
58|6.2|105|82XAA04|112.17|8.43|31.78
59|7.5|60|83XAA04|116.97|8.87|41.53
60|6.5|94|83XAA04|84.27|8.79|41.52
61|5|147|83XAA04|56.45|5.79|35.38
62|7.4|65|83XAA04|91.33|9.53|49.67
63|8.8|21|NM6|183.69|7.29|35.86
64|0|208|85XAA04|0|0|0
65|4.4|162|85XAA04|101.56|4.87|21.07
66|0|208|85XAA04|0|0|0
67|0|208|85XAA04|0|0|0
68|6.3|102|18XAG04|145.61|5.39|26.93
69|5.6|132|18XAG04|172.7|6.19|16.94
70|3.6|178|18XAG04|140.22|3.62|11.84
71|6.6|90|18XAG04|158.05|10.05|24.91
72|1.8|205|85XAA04|37.52|2.61|8.62
73|2.7|195|85XAA04|90.26|3.81|11.71
74|0|208|85XAA04|0|0|0
75|0|208|85XAA04|0|0|0
76|5.1|141|84XAA04|101.29|5.29|26.01
77|0|208|84XAA04|0|0|0
78|7.1|77|84XAA04|111.87|8.06|39.23
79|7.7|55|84XAA04|126.37|9.48|40.62
80|3.5|181|82XAA04|65.26|4.09|19.69
81|8.4|29|82XAA04|154.95|14.56|35.91
82|6.1|110|82XAA04|120.19|9.64|29.43
83|5.7|126|82XAA04|104.67|8.06|31.21
84|7.7|56|NM6|187.4|4.38|27.72
85|2.7|196|81XAA04|156.33|1.7|9.18
86|6.9|80|81XAA04|145.03|8.26|30.45
87|4.8|152|81XAA04|125.56|3.61|21.42
88|10.2|2|81XAA04|209.28|6.89|30.98
89|0|208|2XT4E04|0|0|0
90|0|208|2XT4E04|0|0|0
91|0|208|2XT4E04|0|0|0
92|0|208|2XT4E04|0|0|0
93|4.8|153|84XAA04|110.74|9.66|18.72
94|4.3|164|84XAA04|111.2|10.95|16.13
95|9.7|6|84XAA04|188.8|17.53|35.77
96|8.3|33|84XAA04|193.78|13.19|25.63
97|2.9|193|17XGA04|126.9|2|8.77
98|5.1|142|17XGA04|181.73|4.24|13.9
99|6.7|86|17XGA04|170.55|6.78|23.28
100|5|148|17XGA04|125.44|6.42|20.12
101|0|208|85XAA04|0|0|0
102|3.7|176|85XAA04|82.78|6.06|17.16
103|1.9|204|85XAA04|32.64|2.25|10.4
104|0|208|85XAA04|0|0|0
105|6.9|81|NM6|181.94|4.01|24.06
106|9.2|13|81XAA04|188.3|8.33|37.84
107|6.7|87|81XAA04|82.54|8.99|46.15
108|7.5|61|81XAA04|100.8|7.36|49.03
109|0|208|81XAA04|0|0|0
110|5.7|127|82XAA04|177.2|1.98|18.74
111|7.9|49|82XAA04|231.76|4.56|16.29
112|6.9|82|82XAA04|199.15|6.07|18.03
113|6.1|111|82XAA04|157.96|9.49|19.67
114|2.5|198|18XAG04|55.89|3.87|10.63
115|7.2|73|18XAG04|126.05|16.93|33.39
116|1.3|207|18XAG04|22.43|1.56|7.31
117|5.7|128|18XAG04|123.81|9.23|26.36
118|0|208|1XTE04|0|0|0
119|0|208|1XTE04|0|0|0
120|0|208|1XTE04|0|0|0
121|2.9|194|1XTE04|86.37|2.33|12.36
122|4.3|165|82XAA04|105.68|5.43|17.9
123|6.8|84|82XAA04|163.27|10.98|21.67
124|6.1|112|82XAA04|122.46|9.97|28.14
125|7|79|82XAA04|129.93|11.33|33.43
126|7.5|62|NM6|196.01|5.37|23.63
127|8.5|27|83XAA04|206.83|6.78|28.05
128|8.1|42|83XAA04|140.65|13.99|43.74
129|7.4|66|83XAA04|152.97|11.92|31.82
130|8.2|39|83XAA04|166.02|13.89|31.26
131|0|208|2XT4E04|0|0|0
132|0|208|2XT4E04|0|0|0
133|3.9|171|2XT4E04|93.37|7.01|16.57
