 family11repeatAA     | >F1 family11repeatAA=(female1A x male1A)
 family1AA            | >F1 family1AA=(female1A x male1A)
 family2AA            | >F1 family2AA=(female2A x male2A)
 family3AA            | >F1 family3AA=(female3A x male3A)
 family4AE            | >F1 family1AA=(female1A x male1A) >F2 family4AE=(female4A x male1E)
 family5AG            | >F1 family2AA=(female2A x male2A) >F2 family5AG=(female5A x male1G)
 family66repeatAT     | >F1 family3AA=(female3A x male3A) >F2 family66repeatAT=(female6A x female1T)
 family6AT            | >F1 family3AA=(female3A x male3A) >F2 family6AT=(female6A x female1T)
 family7AEAG          | >F1 family1AA=(female1A x male1A) >F2 family4AE=(female4A x male1E) >F3 family7AEAG=(female1AE x male1AG)
 family7AEAG          | >F1 family2AA=(female2A x male2A) >F2 family5AG=(female5A x male1G) >F3 family7AEAG=(female1AE x male1AG)
 family88repeatAEAGAT | >F1 family1AA=(female1A x male1A) >F2 family4AE=(female4A x male1E) >F3 family7AEAG=(female1AE x male1AG) >F4 family88repeatAEAGAT=(female1AEAG x male1AT)
 family88repeatAEAGAT | >F1 family2AA=(female2A x male2A) >F2 family5AG=(female5A x male1G) >F3 family7AEAG=(female1AE x male1AG) >F4 family88repeatAEAGAT=(female1AEAG x male1AT)
 family88repeatAEAGAT | >F1 family3AA=(female3A x male3A) >F2 family6AT=(female6A x female1T) >F3 family88repeatAEAGAT=(female1AEAG x male1AT)
 family8AEAGAT        | >F1 family1AA=(female1A x male1A) >F2 family4AE=(female4A x male1E) >F3 family7AEAG=(female1AE x male1AG) >F4 family8AEAGAT=(female1AEAG x male1AT)
 family8AEAGAT        | >F1 family2AA=(female2A x male2A) >F2 family5AG=(female5A x male1G) >F3 family7AEAG=(female1AE x male1AG) >F4 family8AEAGAT=(female1AEAG x male1AT)
 family8AEAGAT        | >F1 family3AA=(female3A x male3A) >F2 family6AT=(female6A x female1T) >F3 family8AEAGAT=(female1AEAG x male1AT)
 family9EG            | >F1 family9EG=(female1E x male1G)
