family_key|id|notes|female_plant_id|male_plant_id|seed_notes|form_fnmwu|is_plus|is_root|seeds_in_storage|ploidy_n|seed_germ_percent|seed_germ_date|cross_date|id_taxa|web_photos|web_url
1XAA85|3|Family notes here.|9|23|0|W|N|0|0|2|-1|1111-11-11|1111-11-11|3|0|0
10XAA91|4|Family notes here.|39|5|0|U|N|0|0|2|-1|1111-11-11|1990-04-01|3|0|0
1XA4E05|5|Family notes here.|11|40|0|U|N|0|0|3|-1|1111-11-11|2005-04-01|9|0|0
2XA4E05|6|Family notes here.|9|40|0|U|N|0|0|3|-1|1111-11-11|2005-04-01|2|0|0
10XGA91|7|Family notes here.|51|21|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|7|0|0
10XTG93|8|Family notes here.|149|50|0|U|N|0|0|2|-1|1111-11-11|1993-04-01|5|0|0
11XAA90|9|Family notes here.|39|7|0|U|N|0|0|2|-1|1111-11-11|1990-04-01|3|0|0
11XAAG91|10|Family notes here.|9|60|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|2|0|0
11XTG93|11|Family notes here.|150|60|0|U|N|0|0|2|-1|1111-11-11|1993-04-01|5|0|0
12XAA90|12|Family notes here.|29|8|0|U|N|0|0|2|-1|1111-11-11|1990-04-01|3|0|0
12XAG91|13|Family notes here.|9|60|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|6|0|0
12XGAA91|14|Family notes here.|59|7|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|2|0|0
12XTG93|15|Family notes here.|150|55|0|U|N|0|0|2|-1|1111-11-11|1993-04-01|5|0|0
13XAA90|16|Family notes here.|29|7|0|U|N|0|0|2|-1|1111-11-11|1990-04-01|3|0|0
13XAG91|17|Family notes here.|4|1|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|6|0|0
13XGAG91|18|Family notes here.|59|60|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|2|0|0
13XTG93|19|Family notes here.|151|60|0|U|N|0|0|2|-1|1111-11-11|1993-04-01|5|0|0
14XAA90|20|Family notes here.|20|5|0|U|N|0|0|2|-1|1111-11-11|1990-04-01|3|0|0
14XAG91|21|Family notes here.|4|1|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|6|0|0
14XGAA91|22|Family notes here.|59|23|0|U|N|0|0|2|-1|1111-11-11|1991-04-01|2|0|0
14XTG93|23|Family notes here.|151|55|0|U|N|0|0|2|-1|1111-11-11|1993-04-01|5|0|0
