journal_key|id|notes|author|id_plant|id_family|id_test_spec|id_site|date|web_url
2012-bell-nursery|3|Journal notes here.|MBP|2|2|14|2|2012-04-06|0
2012-bell-nursery|4|Journal notes here.|MBP|2|2|14|2|2012-05-30|0
2011-RNE-AlbaPolePlanting|5|Journal notes here.|MBP|2|2|17|2|2011-11-05|0
2011-RNE-AlbaPolePlanting|6|Journal notes here.|MBP|2|2|17|2|2012-04-21|0
2011-RNE-AlbaPolePlanting|7|Journal notes here.|MBP|2|2|17|2|2012-06-23|0
2011-1xCAGW-Cross|8|Journal notes here.|MBP|2|2|16|2|2012-06-23|0
2012-2xCAG12-Cross|9|Journal notes here.|MBP|2|2|15|2|2012-06-28|0
1CAGW01|10|Journal notes here.|MBP|181|171|14|2|2012-06-28|0
2012-2xCAG12-Cross|11|Journal notes here.|MBP|2|173|15|2|2012-08-28|0
2012-bell-nursery|12|Journal notes here.|MBP|2|2|14|2|2012-09-03|0
RevisedExternalPlant-IDs|13|Journal notes here.|MBP|182|2|2|8|2012-09-03|0
2011-1xCAGW-Cross|14|Journal notes here.|MBP|2|2|16|2|2012-09-15|0
2012-2xCAG12-Cross|15|Journal notes here.|MBP|2|2|15|2|2012-09-15|0
2012-bell-nursery|16|Journal notes here.|MBP|2|2|14|2|2012-10-08|0
2012-field|17|Journal notes here.|MBP|2|2|2|2|2012-10-08|0
2012-bell-nursery|18|Journal notes here.|MBP|2|2|14|2|2012-11-23|0
WASP-2013-A|19|Journal notes here.|MBP|193|2|18|6|2013-02-01|0
2013-breeding-observations|20|Journal notes here.|MBP|2|2|19|6|2013-03-19|0
ASP-2013-D|21|Journal notes here.|MBP|1|1|1|1|2013-03-26|0
2013-breeding-observations|22|Journal notes here.|MBP|1|1|1|1|2013-03-26|0
2013-breeding-observations|23|Journal notes here.|MBP|1|1|1|1|2013-04-12|0
2013-breeding-observations|24|Journal notes here.|MBP|1|1|1|1|2013-04-13|0
2013-field|25|Journal notes here.|MBP|1|1|1|1|2013-04-13|0
2013-breeding-observations|26|Journal notes here.|MBP|1|1|1|1|2013-04-17|0
2013-breeding-observations|27|Journal notes here.|MBP|1|1|1|1|2013-04-20|0
2013-breeding-observations|28|Journal notes here.|MBP|1|1|1|1|2013-04-27|0
2013-breeding-observations|29|Journal notes here.|MBP|1|1|1|1|2013-05-11|0
2013-breeding-observations|30|Journal notes here.|MBP|1|1|1|1|2013-05-14|0
2013-breeding-observations|31|Journal notes here.|MBP|1|1|1|1|2013-05-15|0
2013-breeding-observations|32|Journal notes here.|MBP|1|1|1|1|2013-05-18|0
2013-field|33|Journal notes here.|MBP|1|1|1|1|2013-05-22|0
2013-breeding-observations|34|Journal notes here.|MBP|1|1|1|1|2013-05-23|0
2013-bell-nursery|35|Journal notes here.|MBP|1|1|1|1|2013-05-26|0
2013-breeding-observations|36|Journal notes here.|MBP|1|1|1|1|2013-05-30|0
2013-bell-nursery|37|Journal notes here.|MBP|1|1|1|1|2013-07-20|0
2013-bell-nursery|38|Journal notes here.|MBP|1|1|1|1|2013-07-21|0
2013-field|39|Journal notes here.|MBP|1|1|1|1|2013-07-22|0
2013-bell-nursery|40|Journal notes here.|MBP|1|1|1|1|2013-09-21|0
2014-breeding-observations|41|Journal notes here.|MBP|1|1|1|1|2014-02-28|0
2014-breeding-observations|42|Journal notes here.|MBP|1|1|1|1|2014-02-28|0
2014-breeding-observations|43|Journal notes here.|MBP|1|1|1|1|2014-03-01|0
2014-bell-nursery|44|Journal notes here.|MBP|1|1|1|1|2014-09-22|0
2014-bell-nursery|45|Journal notes here.|MBP|1|1|1|1|2014-09-30|0
