plant_key|id|notes|sex_mfbu|published_botanical_name|common_name|alternate_name|aquired_from|female_external_parent|male_external_parent|form_fnmwu|is_plus|is_cultivar|is_variety|is_from_wild|ploidy_n|date_aquired|id_taxa|id_family|web_photos|web_url
A73|3|Plant notes here.|M|Populus alba 'Pyramidalis' |Bolleana|0|Aquired notes here.|0|0|F|N|Y|N|U|2|1991-01-01|3|2|0|0
A10|4|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|Y|Y|N|Y|2|1989-01-01|3|2|0|0
A344|5|Plant notes here.|M|0|0|0|Aquired notes here.|A69|A57|W|Y|Y|N|N|2|1989-01-01|3|2|0|0
A57|6|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|Y|N|U|2|1991-01-01|3|2|0|0
PRINCE|7|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1990-01-01|3|2|0|0
EBL|8|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|1985-01-01|3|2|0|0
A266|9|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|Y|Y|N|N|2|1991-01-01|3|2|0|0
YUGO2|10|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1991-01-01|3|2|0|0
A502|11|Plant notes here.|F|0|0|0|Aquired notes here.|P.alba n2 Istituto Pignatelli - Villafranca Piemonte TO Italy|P.alba n2 Istituto Pignatelli - Villafranca Piemonte TO Italy|M|Y|Y|N|N|2|1989-01-01|3|2|0|0
GODFREY|12|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|F|N|N|N|Y|2|1992-01-01|3|2|0|0
POL3|13|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|U|Y|N|N|Y|2|1993-01-01|3|2|0|0
POL2|14|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1993-01-01|3|2|0|0
SER41|15|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1993-01-01|3|2|0|0
SER42|16|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1993-01-01|3|2|0|0
SER5|17|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1993-01-01|3|2|0|0
SER6|18|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1993-01-01|3|2|0|0
NORTHFOX|19|Plant notes here.|M|0|NFA|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1991-01-01|3|2|0|0
ALGER|20|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|1985-01-01|3|2|0|0
A546|21|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|N|2|1991-01-01|3|2|0|0
A101|22|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|Y|N|N|N|2|1991-01-01|3|2|0|0
JAMIE|23|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1983-01-01|3|2|0|0
ZOO|24|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|1992-01-01|3|2|0|0
SOUTHBELL|25|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|1995-01-01|3|2|0|0
15AG4MF|26|Plant notes here.|U|0|0|15AG-8m-55-51|Aquired notes here.|0|0|M|Y|N|N|N|2|2011-01-01|6|25|0|0
AA101|27|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|N|2|1987-01-01|3|3|0|0
PA092|28|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|1991-01-01|3|2|0|0
PCA1|29|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|N|2|1988-01-01|3|2|0|0
PCA2|30|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|N|2|1988-01-01|3|2|0|0
AA510|31|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|Y|N|N|N|2|1989-01-01|3|109|0|0
AA511|32|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|Y|N|N|N|2|1990-01-01|3|109|0|0
AA2101|33|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|W|Y|N|N|N|2|1992-01-01|3|57|0|0
AA4101|34|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|2001-01-01|3|88|0|0
AA4102|35|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|Y|N|N|Y|2|2001-01-01|3|88|0|0
AA4201|36|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|Y|N|N|Y|2|2001-01-01|3|90|0|0
DN34|37|Plant notes here.|M|P. xcanadensis 'Eugenei'|Carolina|NC-5326|Aquired notes here.|0|0|M|Y|Y|N|Y|2|1985-01-01|1|2|0|0
NM6|38|Plant notes here.|M|Populus nigra L. x P. maximowiczii A. Henry 'NM6'|0|0|Aquired notes here.|0|0|M|Y|Y|N|N|2|2004-01-01|1|2|0|0
PIONEER|39|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|1990-01-01|3|2|0|0
TA10|40|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|4|2004-01-01|1|2|0|0
AA3201|41|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|78|0|0
AAG2001|42|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|1|56|0|0
AAG2002|43|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|1|56|0|0
AA901|44|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|146|0|0
CLONE5|45|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|1|2|0|0
AA2301|46|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|60|0|0
AA3001|47|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|76|0|0
GG102|48|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|1|49|0|0
GG101|49|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|1|49|0|0
BT016|50|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1990-01-01|1|2|0|0
BT044|51|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1990-01-01|1|2|0|0
FHBT|52|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1988-01-01|6|2|0|0
BT1|53|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1990-01-01|1|2|0|0
BT2|54|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1990-01-01|1|2|0|0
BT017|55|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1993-01-01|1|2|0|0
CRANDON|56|Plant notes here.|B|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1983-01-01|6|2|0|0
FHAG|57|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1987-01-01|6|2|0|0
KENT|58|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1989-01-01|6|2|0|0
GA14|59|Plant notes here.|F|0|0|0|Aquired notes here.|srs,g3|A56|M|N|N|N|N|2|1991-01-01|7|2|0|0
AGMORIN|60|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1985-01-01|6|2|0|0
AGRR1|61|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1991-01-01|6|2|0|0
CA2|62|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1985-01-01|9|2|0|0
AE42|63|Plant notes here.|M|0|0|0|Aquired notes here.|a69|e12|M|N|N|N|N|2|1989-01-01|9|2|0|0
C28|64|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1991-01-01|9|2|0|0
CAG177|65|Plant notes here.|M|0|0|0|Aquired notes here.|c18|ag7|M|N|N|N|N|2|1989-01-01|1|2|0|0
CAG204|66|Plant notes here.|F|0|0|0|Aquired notes here.|c18|ag7|M|Y|N|N|N|2|1989-01-01|1|2|0|0
ST071|67|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1990-01-01|1|2|0|0
ST072|68|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1991-01-01|1|2|0|0
ST2|69|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1990-01-01|1|2|0|0
ST3|70|Plant notes here.|B|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1990-01-01|1|2|0|0
EE102|71|Plant notes here.|F|0|0|0|Aquired notes here.|e138|e120|M|N|N|N|N|2|2003-01-01|1|44|0|0
E138|72|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1991-01-01|1|2|0|0
E120|73|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|1991-01-01|1|2|0|0
ST5|74|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|1993-01-01|1|2|0|0
T8057|75|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|2004-01-01|1|2|0|0
R43C76|76|Plant notes here.|F|0|0|0|Aquired notes here.|7439-0033|7431-0033|M|N|N|N|Y|2|2004-01-01|1|2|0|0
R32C77|77|Plant notes here.|F|0|0|0|Aquired notes here.|7439-0033|7431-0033|M|N|N|N|Y|2|2004-01-01|1|2|0|0
R28C74|78|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|2004-01-01|1|2|0|0
76AA4|79|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA5|80|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA6|81|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA7|82|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA8|83|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA9|84|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA1|85|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
